PO Line ID,GR Posting Date,GR Effective Quantity
"4581791231-10",2023-06-05 00:00:00.000,100.00
"4581791231-11",2022-12-07 00:00:00.000,1.00
"4581791231-12",2022-12-04 00:00:00.000,0.00
"4581791231-13",2022-12-04 00:00:00.000,0.00
"4581791231-13",2023-03-31 00:00:00.000,1968.00
"4581791231-14",2022-12-06 00:00:00.000,1.00
"4581791231-15",2022-12-06 00:00:00.000,1.00
"4581791231-16",2022-12-04 00:00:00.000,0.00
"4581791231-16",2023-02-23 00:00:00.000,1.00
"4581791231-2",2022-12-04 00:00:00.000,0.00
"4581791231-2",2022-12-20 00:00:00.000,2.00
"4581791231-2",2023-01-03 00:00:00.000,1.00
"4581791231-3",2022-12-06 00:00:00.000,50.00
"4581791231-4",2022-12-06 00:00:00.000,50.00
"4581791231-5",2022-12-06 00:00:00.000,30.00
"4581791231-6",2022-12-06 00:00:00.000,100.00
"4581791231-7",2022-12-06 00:00:00.000,500.00
"4581791231-8",2022-12-04 00:00:00.000,0.00
"4581791231-8",2023-03-06 00:00:00.000,50.00
"4581791231-9",2022-12-04 00:00:00.000,0.00
"4581791231-9",2023-01-03 00:00:00.000,50.00
"4581791619-1",2022-12-13 00:00:00.000,0.00
"4581791619-1",2022-12-15 00:00:00.000,1.00
"4581791619-2",2022-12-13 00:00:00.000,0.00
"4581791619-2",2022-12-15 00:00:00.000,1.00
"4581791619-3",2022-12-13 00:00:00.000,0.00
"4581791619-3",2022-12-15 00:00:00.000,1.00
"4581791619-4",2022-12-13 00:00:00.000,0.00
"4581791619-4",2022-12-15 00:00:00.000,1.00
"4581791897-3",2022-12-20 00:00:00.000,0.00
"4581791897-3",2023-01-06 00:00:00.000,99.00
"4581792603-1",2023-05-25 00:00:00.000,0.00
"4581792603-1",2023-06-20 00:00:00.000,4.00
"4581793372-1",2022-12-07 00:00:00.000,50.00
"4581793372-2",2022-12-07 00:00:00.000,50.00
"4581793741-1",2022-12-08 00:00:00.000,49153.41
"4581795665-2",2023-03-24 00:00:00.000,0.00
"4581795665-2",2023-03-27 00:00:00.000,0.00
"4581795665-2",2023-04-03 00:00:00.000,1.00
