po_line_id,gr_posting_date,gr_effective_quantity,gr_amount_usd
4581855268-1,2022-12-20,3.0,0.0
4581856142-1,2022-12-13,5.0,0.0
4581856593-1,2023-03-30,60000.0,0.0
4581858037-1,2023-02-15,24.0,0.0
4581858037-2,2023-02-15,24.0,0.0
4581858037-3,2023-02-15,1.0,0.0
4581858037-4,2023-02-15,30.0,0.0
4581858037-5,2023-02-15,2.0,0.0
4581858037-6,2023-02-15,1.0,0.0
4581858037-6,2023-08-17,1.0,0.0
4581858037-7,2023-02-27,2.0,0.0
4581858037-8,2023-02-15,25.0,0.0
4581858037-9,2023-02-15,25.0,0.0
4581858071-1,2023-01-24,100.0,0.0
4581858071-10,2023-01-24,25.0,0.0
4581858071-11,2022-12-28,1.0,0.0
4581858071-12,2023-04-04,2.0,0.0
4581858071-13,2022-12-28,2.0,0.0
4581858071-14,2023-04-12,1.0,0.0
4581858071-15,2022-12-28,20.0,0.0
4581858071-16,2023-01-24,20.0,0.0
4581858071-17,2023-01-24,20.0,0.0
4581858071-18,2022-12-28,2.0,0.0
4581858071-19,2023-06-30,2.0,0.0
4581858071-2,2022-12-28,100.0,0.0
4581858071-20,2023-01-10,2.0,0.0
4581858071-21,2022-12-28,1.0,0.0
4581858071-21,2023-01-11,4.0,0.0
4581858071-23,2023-01-24,1.0,0.0
4581858071-24,2023-01-24,1.0,0.0
4581858071-24,2023-08-17,1.0,0.0
4581858071-3,2023-01-24,25.0,0.0
4581858071-4,2023-01-24,50.0,0.0
4581858071-5,2023-08-24,2000.0,0.0
4581858071-5,2023-11-29,500.0,0.0
4581858071-6,2023-06-21,200.0,0.0
4581858071-7,2023-06-21,400.0,0.0
4581858071-8,2023-01-24,200.0,0.0
4581858071-9,2023-01-24,25.0,0.0
4581858094-1,2023-06-15,4160.0,118199.21
4581858094-2,2023-06-15,100.0,997.88
4581858094-3,2023-06-15,500.0,3771.03
4581858094-4,2023-06-15,12.0,4567.88
4581858142-1,2023-02-10,1.0,360.0
4581858142-10,2023-02-10,1.0,504.0
4581858142-11,2023-02-10,1.0,540.0
4581858142-12,2023-02-10,1.0,588.0
4581858142-13,2023-02-10,1.0,588.0
4581858142-2,2023-02-10,1.0,360.0
4581858142-3,2023-02-10,1.0,366.0
4581858142-4,2023-02-10,1.0,366.0
4581858142-5,2023-02-10,2.0,732.0
4581858142-6,2023-02-10,2.0,816.0
4581858142-7,2023-02-10,1.0,408.0
4581858142-8,2023-02-10,1.0,480.0
4581858142-9,2023-02-10,1.0,504.0
4581858143-1,2023-02-02,22.0,0.0
4581858143-2,2023-02-02,22.0,0.0
4581858143-3,2023-02-02,22.0,0.0
4581858143-4,2023-01-11,2.0,0.0
4581858143-5,2023-01-11,4.0,0.0
4581860124-1,2022-12-13,1.0,0.0
4581860124-2,2022-12-13,1.0,0.0
4581860124-3,2022-12-13,1.0,0.0
4581862282-1,2023-02-17,48.0,29122.94
4581862282-10,2023-02-17,3.0,1992.32
4581862282-2,2023-02-17,80.0,14189.6
4581862282-3,2023-02-17,20.0,3971.98
4581862282-4,2023-02-17,200.0,1610.32
4581862282-6,2023-02-17,60.0,0.0
4581862282-7,2023-02-17,60.0,0.0
4581862282-8,2023-02-17,1000.0,9163.42
4581862282-9,2023-02-17,1000.0,6085.54
4581862287-1,2023-04-13,10.0,0.0
4581862287-2,2023-04-13,10.0,0.0
4581862287-3,2023-04-13,10.0,0.0
4581862287-4,2023-04-13,10.0,0.0
4581862287-5,2023-04-13,20.0,0.0
4581862287-6,2023-04-13,20.0,0.0
4581862370-1,2023-04-03,2.0,0.0
4581862370-1,2023-04-28,1.0,0.0
4581862371-1,2023-04-06,1.0,0.0
4581862372-1,2023-05-10,2.0,0.0
4581862372-2,2023-05-10,2.0,0.0
4581863877-1,2022-12-22,280.0,0.0
4581864040-1,2023-01-03,4.0,0.0
4581864103-1,2023-01-31,1.0,0.0
4581864103-10,2023-01-31,1.0,0.0
4581864103-11,2023-01-31,1.0,0.0
4581864103-12,2023-01-31,1.0,0.0
4581864103-13,2023-01-31,1.0,0.0
4581864103-14,2023-01-31,1.0,0.0
4581864103-15,2023-01-31,1.0,0.0
4581864103-16,2023-01-31,1.0,0.0
4581864103-17,2023-01-31,1.0,0.0
4581864103-18,2023-01-31,1.0,0.0
4581864103-19,2023-01-31,1.0,0.0
4581864103-2,2023-01-31,1.0,0.0
4581864103-20,2023-01-31,1.0,0.0
4581864103-21,2023-01-31,1.0,0.0
4581864103-22,2023-01-31,1.0,0.0
4581864103-23,2023-01-31,1.0,0.0
4581864103-24,2023-01-31,1.0,0.0
4581864103-25,2023-01-31,1.0,0.0
4581864103-26,2023-01-31,1.0,0.0
4581864103-27,2023-01-31,1.0,0.0
4581864103-28,2023-01-31,1.0,0.0
4581864103-29,2023-01-31,1.0,0.0
4581864103-3,2023-01-31,1.0,0.0
4581864103-30,2023-01-31,1.0,0.0
4581864103-31,2023-01-31,1.0,0.0
4581864103-32,2023-01-31,1.0,0.0
4581864103-33,2023-01-31,1.0,0.0
4581864103-34,2023-01-31,1.0,0.0
4581864103-35,2023-01-31,1.0,0.0
4581864103-36,2023-01-31,1.0,0.0
4581864103-37,2023-01-31,1.0,0.0
4581864103-38,2023-01-31,1.0,0.0
4581864103-39,2023-01-31,1.0,0.0
4581864103-4,2023-01-31,1.0,0.0
4581864103-40,2023-01-31,1.0,0.0
4581864103-5,2023-01-31,1.0,0.0
4581864103-6,2023-01-31,1.0,0.0
4581864103-7,2023-01-31,1.0,0.0
4581864103-8,2023-01-31,1.0,0.0
4581864103-9,2023-01-31,1.0,0.0
4581864106-1,2023-01-04,4.0,0.0
4581864111-1,2023-08-23,2.0,0.0
4581864111-2,2023-01-10,1.0,0.0
4581864111-3,2023-06-02,10.0,0.0
4581864111-4,2023-07-25,28.0,0.0
4581864122-1,2022-12-09,1.0,0.0
4581864124-1,2023-01-10,1.0,0.0
4581864124-2,2023-01-10,4.0,0.0
4581864124-3,2023-01-10,4.0,0.0
4581864124-4,2023-01-10,1.0,0.0
4581864126-10,2023-01-31,1.0,0.0
4581864126-11,2023-01-31,1.0,0.0
4581864126-12,2023-01-31,1.0,0.0
4581864126-14,2023-01-31,1.0,0.0
4581864126-15,2023-01-31,1.0,0.0
4581864126-16,2023-01-31,1.0,0.0
4581864126-17,2023-01-31,1.0,0.0
4581864126-18,2023-01-31,1.0,0.0
4581864126-19,2023-01-31,1.0,0.0
4581864126-20,2023-01-31,1.0,0.0
4581864126-21,2023-01-31,1.0,0.0
4581864126-22,2023-01-31,1.0,0.0
4581864126-23,2023-01-31,1.0,0.0
4581864126-24,2023-01-31,1.0,0.0
4581864126-25,2023-01-31,1.0,0.0
4581864126-26,2023-01-31,1.0,0.0
4581864126-27,2023-01-31,1.0,0.0
4581864126-28,2023-01-31,1.0,0.0
4581864126-29,2023-01-31,1.0,0.0
4581864126-3,2023-01-31,1.0,0.0
4581864126-30,2023-01-31,1.0,0.0
4581864126-31,2023-01-31,1.0,0.0
4581864126-32,2023-01-31,1.0,0.0
4581864126-33,2023-01-31,1.0,0.0
4581864126-34,2023-01-31,1.0,0.0
4581864126-35,2023-01-31,1.0,0.0
4581864126-36,2023-01-31,1.0,0.0
4581864126-37,2023-01-31,1.0,0.0
4581864126-38,2023-01-31,1.0,0.0
4581864126-39,2023-01-31,1.0,0.0
4581864126-4,2023-01-31,1.0,0.0
4581864126-40,2023-01-31,1.0,0.0
4581864126-41,2023-01-31,1.0,0.0
4581864126-42,2023-01-31,1.0,0.0
4581864126-44,2023-01-31,1.0,0.0
4581864126-45,2023-01-31,1.0,0.0
4581864126-46,2023-01-31,1.0,0.0
4581864126-47,2023-01-31,1.0,0.0
4581864126-48,2023-01-31,1.0,0.0
4581864126-49,2023-01-31,1.0,0.0
4581864126-5,2023-01-31,1.0,0.0
4581864126-6,2023-01-31,1.0,0.0
4581864126-7,2023-01-31,1.0,0.0
4581864126-8,2023-01-31,1.0,0.0
4581864126-9,2023-01-31,1.0,0.0
4581864132-1,2023-01-03,50.0,0.0
4581864132-2,2023-01-03,100.0,0.0
4581864132-3,2023-03-27,50.0,0.0
4581864132-4,2023-01-03,50.0,0.0
4581864132-5,2023-01-03,100.0,0.0
4581864132-6,2023-01-03,10.0,0.0
4581864132-7,2023-06-22,500.0,0.0
